0	0.999	0.001	8.67362e-19
0.1	0.998999	0.000966377	3.44083e-05
0.2	0.998998	0.000933885	6.76596e-05
0.3	0.998998	0.000902486	9.9793e-05
0.4	0.998997	0.000872142	0.000130846
0.5	0.998996	0.000842818	0.000160855
0.6	0.998996	0.00081448	0.000189855
0.7	0.998995	0.000787096	0.00021788
0.8	0.998994	0.000760631	0.000244962
0.9	0.998994	0.000735057	0.000271134
1	0.998993	0.000710343	0.000296426
1.1	0.998993	0.000686459	0.000320868
1.2	0.998992	0.000663378	0.000344488
1.3	0.998992	0.000641074	0.000367313
1.4	0.998991	0.000619519	0.000389372
1.5	0.998991	0.00059869	0.000410688
1.6	0.99899	0.00057856	0.000431288
1.7	0.99899	0.000559107	0.000451195
1.8	0.998989	0.000540309	0.000470433
1.9	0.998989	0.000522142	0.000489024
2	0.998988	0.000504586	0.00050699
2.1	0.998988	0.000487621	0.000524352
2.2	0.998988	0.000471226	0.00054113
2.3	0.998987	0.000455382	0.000557344
2.4	0.998987	0.000440071	0.000573013
2.5	0.998987	0.000425275	0.000588155
2.6	0.998986	0.000410976	0.000602788
2.7	0.998986	0.000397158	0.000616929
2.8	0.998986	0.000383804	0.000630595
2.9	0.998985	0.0003709	0.000643801
3	0.998985	0.000358429	0.000656563
3.1	0.998985	0.000346378	0.000668896
3.2	0.998984	0.000334732	0.000680814
3.3	0.998984	0.000323477	0.000692332
3.4	0.998984	0.000312601	0.000703462
3.5	0.998984	0.000302091	0.000714218
3.6	0.998983	0.000291934	0.000724612
3.7	0.998983	0.000282118	0.000734657
3.8	0.998983	0.000272632	0.000744364
3.9	0.998983	0.000263466	0.000753745
4	0.998983	0.000254607	0.000762811
4.1	0.998982	0.000246047	0.000771571
4.2	0.998982	0.000237774	0.000780037
4.3	0.998982	0.00022978	0.000788219
4.4	0.998982	0.000222054	0.000796125
4.5	0.998982	0.000214588	0.000803765
4.6	0.998981	0.000207373	0.000811149
4.7	0.998981	0.0002004	0.000818284
4.8	0.998981	0.000193662	0.00082518
4.9	0.998981	0.000187151	0.000831843
5	0.998981	0.000180858	0.000838283
5.1	0.998981	0.000174778	0.000844506
5.2	0.998981	0.000168901	0.00085052
5.3	0.99898	0.000163222	0.000856331
