0 0 0.00219265
0 1 0.00217616
0 2 0.0021458
0 3 0.0021034
0 4 0.00205084
0 5 0.00198995
0 6 0.0019225
0 7 0.00185008
0 8 0.00177419
0 9 0.00169615
0 10 0.00161715
0 11 0.00153823
0 12 0.00146029
0 13 0.00138411
0 14 0.00131031
0 15 0.00123944
0 16 0.00117193
0 17 0.00110811
0 18 0.00104823
0 19 0.0009925
0 20 0.000941033
0 21 0.000893916
0 22 0.000851191
0 23 0.00081287
0 24 0.000778941
0 25 0.000749377
0 26 0.000724143
0 27 0.000703198
0 28 0.0006865
0 29 0.000674012
0 30 0.000665705
0 31 0.000661557
0 32 0.000661557
0 33 0.000665705
0 34 0.000674012
0 35 0.0006865
0 36 0.000703198
0 37 0.000724143
0 38 0.000749377
0 39 0.000778941
0 40 0.00081287
0 41 0.000851191
0 42 0.000893916
0 43 0.000941033
0 44 0.0009925
0 45 0.00104823
0 46 0.00110811
0 47 0.00117193
0 48 0.00123944
0 49 0.00131031
0 50 0.00138411
0 51 0.00146029
0 52 0.00153823
0 53 0.00161715
0 54 0.00169615
0 55 0.00177419
0 56 0.00185008
0 57 0.0019225
0 58 0.00198995
0 59 0.00205084
0 60 0.0021034
0 61 0.0021458
0 62 0.00217616
0 63 0.00219265

1 0 0.00242622
1 1 0.00240832
1 2 0.00237536
1 3 0.00232929
1 4 0.00227214
1 5 0.00220592
1 6 0.0021325
1 7 0.00205363
1 8 0.00197091
1 9 0.00188579
1 10 0.00179956
1 11 0.00171335
1 12 0.00162814
1 13 0.00154477
1 14 0.00146396
1 15 0.00138629
1 16 0.00131224
1 17 0.00124217
1 18 0.0011764
1 19 0.00111512
1 20 0.00105849
1 21 0.00100661
1 22 0.000959536
1 23 0.000917287
1 24 0.000879859
1 25 0.00084723
1 26 0.000819367
1 27 0.000796229
1 28 0.000777778
1 29 0.000763975
1 30 0.000754792
1 31 0.000750206
1 32 0.000750206
1 33 0.000754792
1 34 0.000763975
1 35 0.000777778
1 36 0.000796229
1 37 0.000819367
1 38 0.00084723
1 39 0.000879859
1 40 0.000917287
1 41 0.000959536
1 42 0.00100661
1 43 0.00105849
1 44 0.00111512
1 45 0.0011764
1 46 0.00124217
1 47 0.00131224
1 48 0.00138629
1 49 0.00146396
1 50 0.00154477
1 51 0.00162814
1 52 0.00171335
1 53 0.00179956
1 54 0.00188579
1 55 0.00197091
1 56 0.00205363
1 57 0.0021325
1 58 0.00220592
1 59 0.00227214
1 60 0.00232929
1 61 0.00237536
1 62 0.00240832
1 63 0.00242622

2 0 0.00267828
2 1 0.0026589
2 2 0.0026232
2 3 0.00257329
2 4 0.00251135
2 5 0.00243952
2 6 0.00235984
2 7 0.00227418
2 8 0.00218429
2 9 0.00209172
2 10 0.00199786
2 11 0.00190395
2 12 0.00181105
2 13 0.0017201
2 14 0.00163185
2 15 0.00154696
2 16 0.00146596
2 17 0.00138927
2 18 0.0013172
2 19 0.00125001
2 20 0.00118788
2 21 0.00113092
2 22 0.0010792
2 23 0.00103275
2 24 0.000991572
2 25 0.00095566
2 26 0.000924978
2 27 0.00089949
2 28 0.000879157
2 29 0.000863944
2 30 0.00085382
2 31 0.000848763
2 32 0.000848763
2 33 0.00085382
2 34 0.000863944
2 35 0.000879157
2 36 0.00089949
2 37 0.000924978
2 38 0.00095566
2 39 0.000991572
2 40 0.00103275
2 41 0.0010792
2 42 0.00113092
2 43 0.00118788
2 44 0.00125001
2 45 0.0013172
2 46 0.00138927
2 47 0.00146596
2 48 0.00154696
2 49 0.00163185
2 50 0.0017201
2 51 0.00181105
2 52 0.00190395
2 53 0.00199786
2 54 0.00209172
2 55 0.00218429
2 56 0.00227418
2 57 0.00235984
2 58 0.00243952
2 59 0.00251135
2 60 0.00257329
2 61 0.0026232
2 62 0.0026589
2 63 0.00267828

3 0 0.00294945
3 1 0.00292854
3 2 0.00289
3 3 0.00283608
3 4 0.00276914
3 5 0.00269146
3 6 0.00260523
3 7 0.00251249
3 8 0.00241507
3 9 0.00231468
3 10 0.00221282
3 11 0.00211081
